Product Name,Price,Rating,Category,Stock Status
Needx Silver 1.8 litres Stainless Steel Multifunctional Kettle,584,92.0,Electronics,0
Mini Electric 150 Watt Stainless Steel Mixer Grinder,498,76.0,Electronics,0
Orpat - Express Chopper Purple Electric Push Button Chopper 250W,1026,90.0,Electronics,0
Orpat - Express Chopper White Electric Push Button Chopper 250W,1026,90.0,Electronics,0
SmartBucket - Dispenser Tap Compatible with Non Electric Water Purifiers,177,92.0,Electronics,0
"Milton Go Electro 1.5 Stainless Steel Electric Kettle, 1 Piece, 1500 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",749,86.0,Electronics,0
Scarlett - Silver 2 litres Stainless Steel Water and Tea & Soups,666,86.0,Electronics,0
"Milton Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2000 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",799,84.0,Electronics,0
"Milton Go Electro 1.2 Stainless Steel Electric Kettle, 1 Piece, 1200 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",699,84.0,Electronics,0
2 In 1 Multifunctional Steaming Device Frying Pan Egg Boiling Roasting Heating Electric Egg Cooker Poacher Boiler - EGBOR,525,84.0,Electronics,0
sell4you - Dispenser Tap Compatible with Non Electric Water Purifiers,135,84.0,Electronics,0
Milton Green 1.5 litres Stainless Steel Multifunctional Kettle,1399,84.0,Electronics,0
"Milton Combo Set Go Electro Stainless Steel Kettle, 1.5 Litres, Silver and Aqua 750 Stainless Steel Water Bottle, 750 ml, Silver | Office | Home | Kitchen | Travel Water Bottle",1072,84.0,Electronics,0
Rock Light Electric Corded Clipper ( Multi ),449,84.0,Electronics,0
"Goodflame Megna Iron Dry Electric Iron(Electric Iron,White)",682,82.0,Electronics,0
OMLITE - egg steamer 1 Ltr PP Plastic Open Lid Egg Boiler,413,82.0,Electronics,0
purple dust - Dispenser Tap Compatible with Non Electric Water Purifiers,181,82.0,Electronics,0
Scarlett - Silver 2 litres Stainless Steel Water and Tea & Soups,666,80.0,Electronics,0
VALLEY GREEN Dispenser Tap Compatible with Non Electric Water Purifiers,164,80.0,Electronics,0
