Product Name,Price,Rating,Reviews,Category,Seller Info,Discount,Stock Status
Tapixaa Mini Electric Shaver Multicolor Cordless Beard Trimmer With 30 minutes Runtime,Rs.  307,74.00%,N/A,Electronics,N/A,N/A,Out of Stock
Needx Silver 1.8 litres Stainless Steel Multifunctional Kettle,Rs.  584,92.00%,N/A,Electronics,N/A,N/A,Out of Stock
Mini Electric 150 Watt Stainless Steel Mixer Grinder,Rs.  498,76.00%,N/A,Electronics,N/A,N/A,Out of Stock
Orpat - Express Chopper Purple Electric Push Button Chopper 250W,"Rs.  1,026",90.00%,N/A,Electronics,N/A,N/A,Out of Stock
Orpat - Express Chopper White Electric Push Button Chopper 250W,"Rs.  1,026",90.00%,N/A,Electronics,N/A,N/A,Out of Stock
SmartBucket - Dispenser Tap Compatible with Non Electric Water Purifiers,Rs.  177,92.00%,N/A,Electronics,N/A,N/A,Out of Stock
"Milton Go Electro 1.5 Stainless Steel Electric Kettle, 1 Piece, 1500 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",Rs.  749,86.00%,N/A,Electronics,N/A,N/A,Out of Stock
Scarlett - Silver 2 litres Stainless Steel Water and Tea & Soups,Rs.  666,86.00%,N/A,Electronics,N/A,N/A,Out of Stock
"Milton Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2000 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",Rs.  799,84.00%,N/A,Electronics,N/A,N/A,Out of Stock
"Milton Go Electro 1.2 Stainless Steel Electric Kettle, 1 Piece, 1200 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",Rs.  699,84.00%,N/A,Electronics,N/A,N/A,Out of Stock
2 In 1 Multifunctional Steaming Device Frying Pan Egg Boiling Roasting Heating Electric Egg Cooker Poacher Boiler - EGBOR,Rs.  525,84.00%,N/A,Electronics,N/A,N/A,Out of Stock
sell4you - Dispenser Tap Compatible with Non Electric Water Purifiers,Rs.  135,84.00%,N/A,Electronics,N/A,N/A,Out of Stock
Milton Green 1.5 litres Stainless Steel Multifunctional Kettle,"Rs.  1,399",84.00%,N/A,Electronics,N/A,N/A,Out of Stock
"Milton Combo Set Go Electro Stainless Steel Kettle, 1.5 Litres, Silver and Aqua 750 Stainless Steel Water Bottle, 750 ml, Silver | Office | Home | Kitchen | Travel Water Bottle","Rs.  1,072",84.00%,N/A,Electronics,N/A,N/A,Out of Stock
Rock Light Electric Corded Clipper ( Multi ),Rs.  449,84.00%,N/A,Electronics,N/A,N/A,Out of Stock
"Goodflame Megna Iron Dry Electric Iron(Electric Iron,White)",Rs.  682,82.00%,N/A,Electronics,N/A,N/A,Out of Stock
OMLITE - egg steamer 1 Ltr PP Plastic Open Lid Egg Boiler,Rs.  413,82.00%,N/A,Electronics,N/A,N/A,Out of Stock
purple dust - Dispenser Tap Compatible with Non Electric Water Purifiers,Rs.  181,82.00%,N/A,Electronics,N/A,N/A,Out of Stock
Scarlett - Silver 2 litres Stainless Steel Water and Tea & Soups,Rs.  666,80.00%,N/A,Electronics,N/A,N/A,Out of Stock
VALLEY GREEN Dispenser Tap Compatible with Non Electric Water Purifiers,Rs.  164,80.00%,N/A,Electronics,N/A,N/A,Out of Stock
